Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-03-27 23:20:32,2024-03-28 22:39:43,UTC-04:00,36,69,39,34.40,95.63,14.3,1957,174,82,2024-03-27 23:20:32,2024-03-28 07:42:21,92,14.1,472,501,235,115,122,29,512,23,94,86
2024-03-26 23:30:26,2024-03-27 23:20:32,UTC-04:00,51,69,46,34.18,95.94,13.8,1915,176,84,2024-03-26 23:30:26,2024-03-27 08:06:40,90,14.0,436,516,234,96,106,80,482,0,86,77
2024-03-25 22:31:24,2024-03-26 23:30:26,UTC-04:00,56,69,47,33.00,95.89,12.7,1928,164,77,2024-03-25 22:31:24,2024-03-26 07:52:20,100,14.1,508,558,203,128,177,50,485,6,91,83
2024-03-24 22:47:14,2024-03-25 22:31:24,UTC-04:00,55,68,48,34.70,96.90,12.1,1798,165,82,2024-03-24 22:47:14,2024-03-25 07:05:12,97,13.8,456,497,263,94,99,41,468,0,91,85
2024-03-23 21:44:53,2024-03-24 22:47:14,UTC-04:00,84,64,64,34.60,95.84,8.8,1684,154,76,2024-03-23 21:44:53,2024-03-24 06:46:34,100,13.8,504,541,354,68,82,37,476,8,93,86
2024-03-22 21:30:24,2024-03-23 21:44:53,UTC-04:00,53,67,48,34.60,97.06,8.4,1597,147,79,2024-03-22 21:30:24,2024-03-23 06:45:34,96,14.3,473,555,273,107,93,82,491,9,85,81
2024-03-21 22:30:23,2024-03-22 21:30:24,UTC-04:00,53,68,48,33.69,95.89,12.6,1800,179,81,2024-03-21 22:30:23,2024-03-22 07:31:07,97,14.1,502,540,188,122,192,38,517,15,94,82
2024-03-20 22:44:45,2024-03-21 22:30:23,UTC-04:00,52,68,50,34.64,96.47,15.9,2096,182,80,2024-03-20 22:44:45,2024-03-21 06:54:32,94,14.2,453,489,170,114,169,36,483,0,93,78
2024-03-19 20:34:27,2024-03-20 22:44:45,UTC-04:00,79,65,63,34.51,97.25,12.8,1950,172,80,2024-03-19 20:34:27,2024-03-20 06:42:29,100,14.5,540,595,306,110,124,55,480,0,90,71
2024-03-18 21:51:19,2024-03-19 20:34:27,UTC-04:00,52,69,48,34.47,95.13,12.1,1739,160,77,2024-03-18 21:51:19,2024-03-19 07:50:13,100,15.0,523,593,255,106,162,70,494,0,90,81
2024-03-17 21:53:12,2024-03-18 21:51:19,UTC-04:00,98,62,76,34.63,95.89,14.7,1992,188,79,2024-03-17 21:53:12,2024-03-18 07:03:05,100,14.2,518,549,325,65,128,31,484,16,94,80
2024-03-16 22:43:38,2024-03-17 21:53:12,UTC-04:00,61,67,52,34.97,97.79,8.4,1525,137,76,2024-03-16 22:43:38,2024-03-17 06:47:40,93,14.4,458,483,223,82,153,25,492,22,95,72
2024-03-15 22:21:37,2024-03-16 22:43:38,UTC-04:00,57,69,51,33.90,95.44,9.2,1659,150,79,2024-03-15 22:21:37,2024-03-16 06:39:35,91,14.8,440,496,272,79,89,56,484,0,90,76
2024-03-14 22:02:50,2024-03-15 22:21:37,UTC-04:00,70,68,56,34.10,95.86,13.1,1903,166,78,2024-03-14 22:02:50,2024-03-15 09:22:29,100,15.0,627,679,301,140,186,52,495,0,92,75
2024-03-13 21:46:55,2024-03-14 22:02:50,UTC-04:00,77,69,59,34.60,95.56,14.8,1832,192,77,2024-03-13 21:46:55,2024-03-14 07:46:47,100,14.9,529,597,261,124,144,68,472,0,88,83
2024-03-12 21:40:09,2024-03-13 21:46:55,UTC-04:00,39,74,35,33.90,96.64,10.0,1642,164,81,2024-03-12 21:40:09,2024-03-13 08:17:01,100,14.5,558,633,311,99,148,75,493,11,89,71
2024-03-11 23:01:39,2024-03-12 21:40:09,UTC-04:00,63,67,52,34.80,95.57,12.4,1758,170,80,2024-03-11 23:01:39,2024-03-12 07:29:42,96,14.1,467,508,214,105,148,41,485,0,91,64
2024-03-10 21:01:55,2024-03-11 23:01:39,UTC-04:00,51,69,45,33.50,96.25,13.2,2000,167,83,2024-03-10 21:01:55,2024-03-11 06:54:34,100,14.7,529,591,306,137,86,62,527,23,89,53
2024-03-09 20:45:09,2024-03-10 20:01:55,UTC-05:00,62,69,54,34.20,96.44,16.1,2039,188,84,2024-03-09 20:45:09,2024-03-10 05:45:16,91,14.8,500,539,273,82,145,39,548,81,92,59
2024-03-09 02:00:13,2024-03-09 20:45:09,UTC-05:00,25,73,32,34.20,96.80,7.9,1253,149,86,2024-03-09 02:00:13,2024-03-09 06:55:03,62,15.5,262,294,108,74,80,32,424,0,88,39
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,93,63,78,35.00,96.32,14.1,2286,171,80,2024-03-07 21:12:56,2024-03-08 07:59:54,100,15.2,617,646,372,115,130,29,467,0,95,87
2024-03-06 21:21:32,2024-03-07 21:12:56,UTC-05:00,98,62,106,34.90,96.71,8.0,1584,159,72,2024-03-06 21:21:32,2024-03-07 07:38:14,100,15.2,569,616,430,58,81,47,463,0,92,79
2024-03-05 21:29:40,2024-03-06 21:21:32,UTC-05:00,98,68,67,33.99,96.08,5.2,1475,130,75,2024-03-05 21:29:40,2024-03-06 08:29:08,100,14.7,591,659,347,83,161,68,492,10,89,73
2024-03-04 22:29:37,2024-03-05 21:29:40,UTC-05:00,87,67,50,33.90,97.76,12.6,1789,164,84,2024-03-04 22:29:37,2024-03-05 06:56:14,97,14.3,466,506,345,52,69,40,482,0,92,85
2024-03-03 21:15:32,2024-03-04 22:29:37,UTC-05:00,96,66,56,33.70,96.43,12.5,1895,174,84,2024-03-03 21:15:32,2024-03-04 06:52:49,100,14.5,523,577,271,116,136,54,499,15,92,74
2024-03-02 22:32:24,2024-03-03 21:15:32,UTC-05:00,57,73,38,34.80,94.87,13.0,1730,181,86,2024-03-02 22:32:24,2024-03-03 06:52:17,93,14.7,433,497,190,91,152,64,463,0,89,76
2024-03-01 22:38:34,2024-03-02 22:32:24,UTC-05:00,65,73,41,34.59,96.43,5.8,1484,133,81,2024-03-01 22:38:34,2024-03-02 08:55:17,100,15.8,551,616,303,104,144,65,508,20,89,74
