Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2023-12-04 23:05:55,2023-12-06 00:25:23,UTC-05:00,2023-12-04 23:05:55,2023-12-05 06:48:23,81,14.6,419,462,221,68,130,43,519,55,90,78,false
2023-12-04 00:12:06,2023-12-04 23:05:55,UTC-05:00,2023-12-04 00:12:06,2023-12-04 06:48:21,78,14.5,384,396,195,74,115,12,495,6,97,69,false
2023-12-02 19:53:07,2023-12-04 00:12:06,UTC-05:00,2023-12-02 19:53:07,2023-12-03 06:30:00,98,14.5,533,636,272,104,157,103,544,77,84,58,false
2023-12-01 22:43:14,2023-12-02 19:53:07,UTC-05:00,2023-12-01 22:43:14,2023-12-02 07:03:07,79,15.6,451,499,204,92,155,48,571,99,90,79,false
2023-12-01 00:39:15,2023-12-01 22:43:14,UTC-05:00,2023-12-01 00:39:15,2023-12-01 06:36:23,63,15.1,339,350,176,79,84,11,539,73,96,77,false
2023-11-29 22:17:26,2023-12-01 00:39:15,UTC-05:00,2023-11-29 22:17:26,2023-11-30 06:47:53,80,14.9,463,508,279,91,93,45,577,105,91,84,false
2023-11-29 00:32:47,2023-11-29 22:17:26,UTC-05:00,2023-11-29 00:32:47,2023-11-29 06:21:15,61,15.4,324,345,209,51,64,21,535,53,94,67,false
2023-11-27 22:14:30,2023-11-29 00:32:47,UTC-05:00,2023-11-27 22:14:30,2023-11-28 06:52:10,85,14.6,458,506,294,61,103,48,541,59,92,78,false
2023-11-26 22:28:48,2023-11-27 22:14:30,UTC-05:00,2023-11-26 22:28:48,2023-11-27 06:14:04,78,15.0,422,463,222,95,105,41,540,64,91,75,false
2023-11-25 22:23:55,2023-11-26 22:28:48,UTC-05:00,2023-11-25 22:23:55,2023-11-26 06:29:54,81,13.5,431,483,253,86,92,52,530,65,89,65,false
2023-11-24 23:44:38,2023-11-25 22:23:55,UTC-05:00,2023-11-24 23:44:38,2023-11-25 06:19:44,78,14.5,367,395,222,73,72,28,468,0,93,50,false
2023-11-23 22:31:24,2023-11-24 23:44:38,UTC-05:00,2023-11-23 22:31:24,2023-11-24 10:58:49,100,14.7,636,747,344,134,158,111,499,34,85,54,false
2023-11-22 22:40:01,2023-11-23 22:31:24,UTC-05:00,2023-11-22 22:40:01,2023-11-23 07:34:30,90,14.6,488,534,177,126,185,46,542,78,92,81,false
2023-11-21 23:18:55,2023-11-22 22:40:01,UTC-05:00,2023-11-21 23:18:55,2023-11-22 07:34:28,78,15.4,434,492,272,93,69,58,556,67,88,76,false
2023-11-20 21:44:11,2023-11-21 23:18:55,UTC-05:00,2023-11-20 21:44:11,2023-11-21 06:14:39,81,14.1,460,510,269,97,94,50,565,99,90,74,false
2023-11-19 23:52:27,2023-11-20 21:44:11,UTC-05:00,2023-11-19 23:52:27,2023-11-20 06:08:50,64,14.2,348,376,196,68,84,28,547,82,92,84,false
2023-11-18 22:54:44,2023-11-19 23:52:27,UTC-05:00,2023-11-18 22:54:44,2023-11-19 07:01:10,72,14.6,430,484,181,105,144,54,594,127,91,82,false
2023-11-17 22:57:42,2023-11-18 22:54:44,UTC-05:00,2023-11-17 22:57:42,2023-11-18 06:33:22,52,14.7,300,452,122,73,105,152,575,96,66,74,false
2023-11-16 23:51:30,2023-11-17 22:57:42,UTC-05:00,2023-11-16 23:51:30,2023-11-17 07:07:56,68,14.5,409,434,229,77,103,25,602,127,94,69,false
2023-11-16 02:04:07,2023-11-16 23:51:30,UTC-05:00,2023-11-16 02:04:07,2023-11-16 05:59:39,42,15.0,213,224,129,59,25,11,510,18,95,53,false
2023-11-14 21:53:10,2023-11-16 02:04:07,UTC-05:00,2023-11-14 21:53:10,2023-11-15 07:06:53,94,14.4,477,546,260,121,96,69,505,12,87,84,false
2023-11-13 21:19:56,2023-11-14 21:53:10,UTC-05:00,2023-11-13 21:19:56,2023-11-14 06:27:53,96,14.2,508,547,221,136,151,39,526,61,92,74,false
2023-11-12 22:00:45,2023-11-13 21:19:56,UTC-05:00,2023-11-12 22:00:45,2023-11-13 07:01:30,84,14.4,483,539,234,131,118,56,578,86,92,71,false
2023-11-11 23:28:12,2023-11-12 22:00:45,UTC-05:00,2023-11-11 23:28:12,2023-11-12 06:50:24,69,14.5,377,436,241,74,62,59,550,81,87,79,false
2023-11-10 23:45:28,2023-11-11 23:28:12,UTC-05:00,2023-11-10 23:45:28,2023-11-11 06:43:09,70,15.2,372,411,175,71,126,39,534,43,90,79,false
2023-11-09 23:36:45,2023-11-10 23:45:28,UTC-05:00,2023-11-09 23:36:45,2023-11-10 08:48:32,88,15.2,484,551,223,111,150,67,551,65,87,76,false
2023-11-09 00:24:18,2023-11-09 23:36:45,UTC-05:00,2023-11-09 00:24:18,2023-11-09 07:59:58,75,15.2,391,455,236,111,44,64,523,26,86,72,false
2023-11-07 22:55:42,2023-11-09 00:24:18,UTC-05:00,2023-11-07 22:55:42,2023-11-08 07:12:47,91,14.7,442,497,262,79,101,55,483,9,88,73,false
2023-11-06 22:00:23,2023-11-07 22:55:42,UTC-05:00,2023-11-06 22:00:23,2023-11-07 07:56:58,97,14.5,524,596,269,112,143,72,539,74,87,66,false
2023-11-06 00:08:46,2023-11-06 22:00:23,UTC-05:00,2023-11-06 00:08:46,2023-11-06 06:49:38,72,14.1,376,400,213,68,95,24,524,59,93,69,false
2023-11-04 20:36:46,2023-11-06 00:08:46,UTC-05:00,2023-11-04 20:36:46,2023-11-05 06:54:25,85,14.8,541,617,247,111,183,76,634,106,87,59,false
2023-11-04 01:57:15,2023-11-04 21:36:46,UTC-04:00,2023-11-04 01:57:15,2023-11-04 06:59:35,57,15.0,286,302,133,60,93,16,498,22,98,56,false
2023-11-02 23:22:51,2023-11-04 01:57:15,UTC-04:00,2023-11-02 23:22:51,2023-11-03 08:55:48,94,14.3,537,566,185,126,226,29,572,86,94,70,false
2023-11-02 00:00:35,2023-11-02 23:22:51,UTC-04:00,2023-11-02 00:00:35,2023-11-02 07:24:01,76,14.6,433,443,246,79,108,10,567,88,97,80,false
2023-10-31 23:00:44,2023-11-02 00:00:35,UTC-04:00,2023-10-31 23:00:44,2023-11-01 07:00:14,77,14.4,450,479,265,99,86,29,589,116,94,,false
2023-10-31 00:48:38,2023-10-31 23:00:44,UTC-04:00,2023-10-31 00:48:38,2023-10-31 06:10:12,56,14.7,301,321,186,49,66,20,533,70,93,,false
2023-10-27 02:02:00,2023-10-28 02:02:00,UTC-04:00,2023-10-27 02:02:00,2023-10-27 12:02:00,,,,,,,,,,,,,false
2023-10-26 00:08:49,2023-10-27 02:02:00,UTC-04:00,2023-10-26 00:08:49,2023-10-26 07:12:45,74,14.8,397,423,231,62,104,26,539,49,94,71,false
2023-10-24 23:05:43,2023-10-26 00:08:49,UTC-04:00,2023-10-24 23:05:43,2023-10-25 06:06:46,80,14.2,391,420,231,54,106,29,490,7,93,,false
2023-10-23 21:51:45,2023-10-24 23:05:43,UTC-04:00,2023-10-23 21:51:45,2023-10-24 06:29:53,97,14.8,484,518,250,92,142,34,499,0,93,,false
