Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-21 22:30:23,2024-03-22 21:30:24,UTC-04:00,2024-03-21 22:30:23,2024-03-22 07:31:07,97,14.1,502,540,188,122,192,38,517,15,94,82,false
2024-03-20 22:44:45,2024-03-21 22:30:23,UTC-04:00,2024-03-20 22:44:45,2024-03-21 06:54:32,94,14.2,453,489,170,114,169,36,483,0,93,78,false
2024-03-19 20:34:27,2024-03-20 22:44:45,UTC-04:00,2024-03-19 20:34:27,2024-03-20 06:42:29,100,14.5,540,595,306,110,124,55,480,0,90,71,false
2024-03-18 21:51:19,2024-03-19 20:34:27,UTC-04:00,2024-03-18 21:51:19,2024-03-19 07:50:13,100,15.0,523,593,255,106,162,70,494,0,90,81,false
2024-03-17 21:53:12,2024-03-18 21:51:19,UTC-04:00,2024-03-17 21:53:12,2024-03-18 07:03:05,100,14.2,518,549,325,65,128,31,484,16,94,80,false
2024-03-16 22:43:38,2024-03-17 21:53:12,UTC-04:00,2024-03-16 22:43:38,2024-03-17 06:47:40,93,14.4,458,483,223,82,153,25,492,22,95,72,false
2024-03-15 22:21:37,2024-03-16 22:43:38,UTC-04:00,2024-03-15 22:21:37,2024-03-16 06:39:35,91,14.8,440,496,272,79,89,56,484,0,90,76,false
2024-03-14 22:02:50,2024-03-15 22:21:37,UTC-04:00,2024-03-14 22:02:50,2024-03-15 09:22:29,100,15.0,627,679,301,140,186,52,495,0,92,75,false
2024-03-13 21:46:55,2024-03-14 22:02:50,UTC-04:00,2024-03-13 21:46:55,2024-03-14 07:46:47,100,14.9,529,597,261,124,144,68,472,0,88,83,false
2024-03-12 21:40:09,2024-03-13 21:46:55,UTC-04:00,2024-03-12 21:40:09,2024-03-13 08:17:01,100,14.5,558,633,311,99,148,75,493,11,89,71,false
2024-03-11 23:01:39,2024-03-12 21:40:09,UTC-04:00,2024-03-11 23:01:39,2024-03-12 07:29:42,96,14.1,467,508,214,105,148,41,485,0,91,64,false
2024-03-10 21:01:55,2024-03-11 23:01:39,UTC-04:00,2024-03-10 21:01:55,2024-03-11 06:54:34,100,14.7,529,591,306,137,86,62,527,23,89,53,false
2024-03-09 20:45:09,2024-03-10 20:01:55,UTC-05:00,2024-03-09 20:45:09,2024-03-10 05:45:16,91,14.8,500,539,273,82,145,39,548,81,92,59,false
2024-03-09 02:00:13,2024-03-09 20:45:09,UTC-05:00,2024-03-09 02:00:13,2024-03-09 06:55:03,62,15.5,262,294,108,74,80,32,424,0,88,39,false
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,2024-03-08 14:21:03,2024-03-08 15:30:45,14,16.5,65,69,65,0,0,4,465,0,94,,true
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,2024-03-07 21:12:56,2024-03-08 07:59:54,100,15.2,617,646,372,115,130,29,467,0,95,87,false
2024-03-06 21:21:32,2024-03-07 21:12:56,UTC-05:00,2024-03-06 21:21:32,2024-03-07 07:38:14,100,15.2,569,616,430,58,81,47,463,0,92,79,false
2024-03-05 21:29:40,2024-03-06 21:21:32,UTC-05:00,2024-03-05 21:29:40,2024-03-06 08:29:08,100,14.7,591,659,347,83,161,68,492,10,89,73,false
2024-03-04 22:29:37,2024-03-05 21:29:40,UTC-05:00,2024-03-04 22:29:37,2024-03-05 06:56:14,97,14.3,466,506,345,52,69,40,482,0,92,85,false
2024-03-03 21:15:32,2024-03-04 22:29:37,UTC-05:00,2024-03-03 21:15:32,2024-03-04 06:52:49,100,14.5,523,577,271,116,136,54,499,15,92,74,false
2024-03-02 22:32:24,2024-03-03 21:15:32,UTC-05:00,2024-03-02 22:32:24,2024-03-03 06:52:17,93,14.7,433,497,190,91,152,64,463,0,89,76,false
2024-03-01 22:38:34,2024-03-02 22:32:24,UTC-05:00,2024-03-01 22:38:34,2024-03-02 08:55:17,100,15.8,551,616,303,104,144,65,508,20,89,74,false
2024-02-29 22:42:49,2024-03-01 22:38:34,UTC-05:00,2024-02-29 22:42:49,2024-03-01 07:16:38,91,14.8,440,511,239,100,101,71,482,12,86,87,false
2024-02-28 22:14:54,2024-02-29 22:42:49,UTC-05:00,2024-02-28 22:14:54,2024-02-29 06:49:41,96,15.4,470,514,313,91,66,44,490,27,91,92,false
2024-02-27 21:46:30,2024-02-28 22:14:54,UTC-05:00,2024-02-27 21:46:30,2024-02-28 06:47:14,89,15.0,466,534,239,86,141,68,521,36,87,87,false
2024-02-26 22:17:43,2024-02-27 21:46:30,UTC-05:00,2024-02-26 22:17:43,2024-02-27 07:25:11,86,15.2,434,547,239,82,113,113,507,22,81,88,false
2024-02-25 22:19:32,2024-02-26 22:17:43,UTC-05:00,2024-02-25 22:19:32,2024-02-26 06:44:46,90,14.1,424,501,184,96,144,77,470,5,85,85,false
2024-02-24 21:49:43,2024-02-25 22:19:32,UTC-05:00,2024-02-24 21:49:43,2024-02-25 06:45:11,98,14.4,476,528,275,115,86,52,485,12,90,82,false
2024-02-23 22:57:56,2024-02-24 21:49:43,UTC-05:00,2024-02-23 22:57:56,2024-02-24 07:42:49,96,15.2,457,524,239,104,114,67,477,14,89,77,false
2024-02-22 22:31:57,2024-02-23 22:57:56,UTC-05:00,2024-02-22 22:31:57,2024-02-23 07:45:11,96,15.6,484,549,258,91,135,65,506,0,88,72,false
2024-02-21 21:01:32,2024-02-22 22:31:57,UTC-05:00,2024-02-21 21:01:32,2024-02-22 06:40:44,100,14.7,529,576,266,99,164,47,484,14,92,84,false
2024-02-20 21:33:13,2024-02-21 21:01:32,UTC-05:00,2024-02-20 21:33:13,2024-02-21 06:31:05,95,14.9,459,536,244,98,117,77,482,0,88,76,false
2024-02-19 20:46:04,2024-02-20 21:33:13,UTC-05:00,2024-02-19 20:46:04,2024-02-20 06:44:00,100,14.1,550,597,253,135,162,47,497,34,92,61,false
2024-02-18 21:54:45,2024-02-19 20:46:04,UTC-05:00,2024-02-18 21:54:45,2024-02-19 06:30:01,86,14.5,429,515,181,100,148,86,498,27,83,72,false
2024-02-17 23:32:44,2024-02-18 21:54:45,UTC-05:00,2024-02-17 23:32:44,2024-02-18 07:37:14,88,14.5,410,483,241,98,71,73,465,0,87,75,false
2024-02-16 22:48:58,2024-02-17 23:32:44,UTC-05:00,2024-02-16 22:48:58,2024-02-17 09:18:08,100,14.6,515,629,267,117,131,114,463,0,82,79,false
2024-02-15 22:50:21,2024-02-16 22:48:58,UTC-05:00,2024-02-15 22:50:21,2024-02-16 09:07:02,100,15.6,546,614,304,115,127,68,523,23,90,70,false
2024-02-14 22:17:10,2024-02-15 22:50:21,UTC-05:00,2024-02-14 22:17:10,2024-02-15 06:59:34,91,14.4,470,521,213,102,155,51,517,35,90,83,false
2024-02-13 22:10:45,2024-02-14 22:17:10,UTC-05:00,2024-02-13 22:10:45,2024-02-14 06:49:01,86,15.3,432,513,235,84,113,81,503,19,86,80,false
