Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-03-19 20:34:27,2024-03-20 22:44:45,UTC-04:00,2024-03-20 09:09:00,2024-03-20 09:37:29,28,Functional Fitness,8.0,155.0,172,134,9,38,24,29,0,false,,,
2024-03-18 21:51:19,2024-03-19 20:34:27,UTC-04:00,2024-03-19 17:09:00,2024-03-19 17:52:29,43,Activity,8.3,216.0,156,130,5,39,52,3,0,false,,,
2024-03-17 21:53:12,2024-03-18 21:51:19,UTC-04:00,2024-03-18 08:37:30,2024-03-18 09:43:29,65,Box Fitness,12.2,356.0,188,133,5,48,28,9,10,false,,,
2024-03-14 22:02:50,2024-03-15 22:21:37,UTC-04:00,2024-03-15 17:28:30,2024-03-15 18:13:29,44,Box Fitness,8.9,226.0,166,131,9,34,38,19,0,false,,,
2024-03-13 21:46:55,2024-03-14 22:02:50,UTC-04:00,2024-03-14 17:24:00,2024-03-14 18:08:59,44,Running,14.2,348.0,192,149,7,21,16,21,35,false,,,
2024-03-11 23:01:39,2024-03-12 21:40:09,UTC-04:00,2024-03-12 18:12:00,2024-03-12 19:02:59,50,Functional Fitness,8.7,220.0,170,125,16,38,29,14,0,false,,,
2024-03-10 21:01:55,2024-03-11 23:01:39,UTC-04:00,2024-03-11 08:25:30,2024-03-11 08:53:59,28,Box Fitness,5.1,75.0,154,113,26,52,10,1,0,false,,,
2024-03-09 20:45:09,2024-03-10 20:01:55,UTC-05:00,2024-03-10 12:52:30,2024-03-10 14:18:40,86,Running,15.6,645.0,188,148,3,12,19,49,17,false,,,
2024-03-09 02:00:13,2024-03-09 20:45:09,UTC-05:00,2024-03-09 16:28:30,2024-03-09 16:58:29,29,Activity,4.2,37.0,126,106,76,24,0,0,0,false,,,
2024-03-07 21:12:56,2024-03-09 02:00:13,UTC-05:00,2024-03-08 17:21:00,2024-03-08 18:11:59,50,Box Fitness,10.1,273.0,171,135,4,35,31,30,0,false,,,
2024-03-04 22:29:37,2024-03-05 21:29:40,UTC-05:00,2024-03-05 08:45:00,2024-03-05 09:38:59,53,HIIT,9.3,265.0,164,132,7,33,47,13,0,false,,,
2024-03-03 21:15:32,2024-03-04 22:29:37,UTC-05:00,2024-03-04 09:09:00,2024-03-04 09:55:29,46,Box Fitness,7.6,174.0,174,125,16,55,20,9,0,false,,,
2024-03-02 22:32:24,2024-03-03 21:15:32,UTC-05:00,2024-03-03 17:21:00,2024-03-03 18:23:59,62,Box Fitness,11.5,312.0,181,132,24,20,21,31,4,false,,,
2024-02-29 22:42:49,2024-03-01 22:38:34,UTC-05:00,2024-03-01 18:39:00,2024-03-01 19:04:29,25,Box Fitness,6.3,113.0,161,129,16,20,55,8,0,false,,,
2024-02-29 22:42:49,2024-03-01 22:38:34,UTC-05:00,2024-03-01 15:22:30,2024-03-01 16:23:59,61,Box Fitness,10.2,306.0,161,133,7,33,41,19,0,false,,,
2024-02-28 22:14:54,2024-02-29 22:42:49,UTC-05:00,2024-02-29 18:21:00,2024-02-29 19:13:29,52,Box Fitness,8.3,205.0,164,127,15,42,24,18,0,false,,,
2024-02-26 22:17:43,2024-02-27 21:46:30,UTC-05:00,2024-02-27 17:15:00,2024-02-27 18:02:59,47,Box Fitness,11.7,281.0,183,139,1,39,30,16,14,false,,,
2024-02-25 22:19:32,2024-02-26 22:17:43,UTC-05:00,2024-02-26 17:09:00,2024-02-26 18:05:59,56,Box Fitness,8.4,246.0,154,129,5,41,52,2,0,false,,,
2024-02-25 22:19:32,2024-02-26 22:17:43,UTC-05:00,2024-02-26 14:19:30,2024-02-26 14:46:29,26,Walking,5.1,72.0,145,119,14,72,14,0,0,false,,,
2024-02-24 21:49:43,2024-02-25 22:19:32,UTC-05:00,2024-02-25 20:10:30,2024-02-25 20:26:59,16,Walking,4.3,25.0,134,110,43,57,0,0,0,false,,,
2024-02-23 22:57:56,2024-02-24 21:49:43,UTC-05:00,2024-02-24 09:21:00,2024-02-24 10:02:59,41,Box Fitness,9.0,220.0,176,135,6,26,45,23,0,false,,,
2024-02-21 21:01:32,2024-02-22 22:31:57,UTC-05:00,2024-02-22 19:13:30,2024-02-22 20:04:29,50,Running,15.6,458.0,186,158,2,12,3,39,44,false,,,
2024-02-21 21:01:32,2024-02-22 22:31:57,UTC-05:00,2024-02-22 18:25:30,2024-02-22 18:49:29,23,Activity,5.3,81.0,146,123,12,58,30,0,0,false,,,
2024-02-20 21:33:13,2024-02-21 21:01:32,UTC-05:00,2024-02-21 17:07:30,2024-02-21 18:01:29,53,Activity,7.0,169.0,169,120,24,47,22,5,0,false,,,
2024-02-19 20:46:04,2024-02-20 21:33:13,UTC-05:00,2024-02-20 17:56:53,2024-02-20 21:18:39,201,Box Fitness,11.1,437.0,178,99,26,18,6,7,0,false,,,
2024-02-19 20:46:04,2024-02-20 21:33:13,UTC-05:00,2024-02-20 17:31:21,2024-02-20 17:56:12,24,Cycling,6.2,116.0,159,130,7,23,63,4,0,true,0.00,0.00,1.26
2024-02-17 23:32:44,2024-02-18 21:54:45,UTC-05:00,2024-02-18 10:03:00,2024-02-18 10:44:59,41,Box Fitness,7.5,187.0,161,129,8,44,45,3,0,false,,,
2024-02-14 22:17:10,2024-02-15 22:50:21,UTC-05:00,2024-02-15 19:07:30,2024-02-15 19:59:59,52,Running,14.4,409.0,194,149,5,14,29,18,34,false,,,
